generation,best_fitness,best_score,best_steps,average_fitness
266,71108,70,1108,36746.0
267,64403,63,1403,31401.22
268,69167,68,1167,32568.7
269,74442,73,1442,37579.88
270,72527,71,1527,37857.38
271,65122,64,1122,38411.88
272,66109,65,1109,33758.1
273,66104,65,1104,32748.38
274,66126,65,1126,36423.1
275,72462,71,1462,32214.58
276,64262,63,1262,30089.97
277,74431,73,1431,32882.28
278,64151,63,1151,35438.85
279,63089,62,1089,34223.88
280,79585,78,1585,38081.8
281,56115,55,1115,29578.1
282,71539,70,1539,34018.35
283,61971,61,971,34601.55
284,65157,64,1157,33259.6
285,88563,87,1563,37352.0
286,68292,67,1292,39327.1
287,66044,65,1044,37265.1
288,76494,75,1494,38258.68
289,79502,78,1502,36603.75
290,68343,67,1343,38142.75
291,65338,64,1338,36733.82
292,57808,57,808,32539.3
293,65056,64,1056,35068.07
294,67360,66,1360,35182.1
295,75274,74,1274,35413.72
296,64308,63,1308,31979.47
297,64190,63,1190,32311.2
298,66404,65,1404,36785.43
299,80379,79,1379,39025.75
300,61136,60,1136,32045.95
301,71426,70,1426,37338.3
302,55898,55,898,34851.9
303,70304,69,1304,36570.47
304,68238,67,1238,40239.12
305,70320,69,1320,31228.25
306,63090,62,1090,35856.88
307,71255,70,1255,35923.05
308,78485,77,1485,35500.6
309,77490,76,1490,32766.1
310,67267,66,1267,39385.88
311,64089,63,1089,35222.43
312,73389,72,1389,33719.57
313,70395,69,1395,36961.1
314,71285,70,1285,36857.43
315,75430,74,1430,37516.5
316,74188,73,1188,38939.6
317,69315,68,1315,35132.68
318,76563,75,1563,38776.05
319,66099,65,1099,34656.35
320,66273,65,1273,34379.55
321,71504,70,1504,34108.38
322,66376,65,1376,40978.95
323,60114,59,1114,34112.53
324,64340,63,1340,33688.4
325,71114,70,1114,39638.55
326,78539,77,1539,34798.43
327,77702,76,1702,36802.15
328,64203,63,1203,34446.6
329,65324,64,1324,32422.35
330,77519,76,1519,32556.72
331,65116,64,1116,38990.15
332,69269,68,1269,34463.38
333,63065,62,1065,36389.35
334,67328,66,1328,37424.18
335,70216,69,1216,37816.6
336,63063,62,1063,36032.65
337,75226,74,1226,37508.82
338,76413,75,1413,37920.4
339,97830,96,1830,37723.95
340,66159,65,1159,36467.12
341,61211,60,1211,34723.43
342,74341,73,1341,33935.1
343,69210,68,1210,33899.25
344,72236,71,1236,37527.32
345,66200,65,1200,31455.0
346,82960,81,1960,32274.67
347,71206,70,1206,37261.68
348,65177,64,1177,36475.38
349,73445,72,1445,40563.22
350,76549,75,1549,31727.35
351,74338,73,1338,38211.75
352,61145,60,1145,34811.38
353,64069,63,1069,37818.3
354,79895,78,1895,36564.03
355,78536,77,1536,31171.03
356,57040,56,1040,34210.18
357,67195,66,1195,34925.4
358,91786,90,1786,39862.8
359,67390,66,1390,38812.1
360,66281,65,1281,33237.6
361,81594,80,1594,35687.6
362,62298,61,1298,34222.82
363,78543,77,1543,39510.38
364,86904,85,1904,38822.57
365,56971,56,971,30213.12
366,77519,76,1519,39445.75
367,65297,64,1297,40392.22
368,79841,78,1841,33195.78
369,74443,73,1443,42671.25
370,63144,62,1144,35998.75
371,62073,61,1073,33395.15
372,79637,78,1637,33601.25
373,78318,77,1318,35592.45
374,63078,62,1078,37041.47
375,61111,60,1111,34973.6
376,52769,52,769,32353.83
377,77502,76,1502,37572.9
378,69288,68,1288,37848.35
379,56986,56,986,33313.2
380,63146,62,1146,33227.88
381,57933,57,933,33532.65
382,68138,67,1138,32796.68
383,91692,90,1692,37359.5
384,74565,73,1565,35991.57
385,63034,62,1034,36877.32
386,82781,81,1781,38020.47
387,75430,74,1430,37617.05
388,66273,65,1273,37263.45
389,64267,63,1267,35825.5
390,78553,77,1553,38617.35
391,79408,78,1408,37146.22
392,65167,64,1167,31853.53
393,72351,71,1351,34990.38
394,65273,64,1273,38368.25
395,64142,63,1142,36078.68
396,69355,68,1355,37391.55
397,72187,71,1187,33080.72
398,64104,63,1104,34435.57
399,71285,70,1285,33847.2
400,72308,71,1308,34703.82
401,68299,67,1299,32582.72
402,66321,65,1321,39421.15
403,62128,61,1128,32574.47
404,70237,69,1237,34121.72
405,80402,79,1402,33830.45
406,72325,71,1325,35629.45
407,77425,76,1425,37147.32
408,75516,74,1516,40455.62
409,71026,70,1026,36529.75
410,71405,70,1405,40420.32
411,68106,67,1106,38157.9
412,79651,78,1651,38747.7
413,65320,64,1320,35787.78
414,71173,70,1173,38061.78
415,68316,67,1316,36295.38
416,70538,69,1538,38370.47
417,65165,64,1165,37807.4
418,78719,77,1719,37689.38
419,79494,78,1494,36619.6
420,60019,59,1019,38115.62
421,75369,74,1369,36300.25
422,73212,72,1212,35967.78
423,73242,72,1242,35669.25
424,64189,63,1189,32951.5
425,73309,72,1309,40219.28
426,66202,65,1202,35836.2
427,65230,64,1230,34856.2
428,70251,69,1251,36267.57
429,78515,77,1515,34055.75
430,71628,70,1628,34050.32
431,70231,69,1231,36103.78
432,65218,64,1218,35121.6
433,64090,63,1090,37880.18
434,72072,71,1072,37186.97
435,59994,59,994,36566.62
436,80524,79,1524,34781.68
437,72199,71,1199,35860.4
438,67339,66,1339,36307.82
439,80361,79,1361,38083.95
440,63139,62,1139,32657.9
441,78595,77,1595,35154.47
442,71120,70,1120,38007.78
443,72496,71,1496,39430.32
444,81434,80,1434,37105.72
